frame_id,num_gt,num_detections,num_matched_gt,num_unmatched_gt,num_tp_dets,num_fp_dets
930,2,2,2,0,2,0
932,2,4,2,0,2,2
934,2,5,2,0,2,3
936,2,6,2,0,2,4
938,2,3,2,0,2,1
940,2,4,2,0,2,2
942,2,3,2,0,2,1
944,2,3,2,0,2,1
946,2,4,2,0,2,2
948,2,5,2,0,2,3
950,2,6,2,0,2,4
952,2,5,2,0,2,3
954,2,6,2,0,2,4
956,2,4,2,0,2,2
958,2,4,2,0,2,2
960,2,2,2,0,2,0
962,2,4,2,0,2,2
964,2,4,2,0,2,2
966,2,4,2,0,2,2
968,2,3,2,0,2,1
970,2,2,2,0,2,0
972,2,3,2,0,2,1
974,2,4,2,0,2,2
976,2,5,2,0,2,3
978,2,7,2,0,2,5
980,2,6,2,0,2,4
982,2,5,2,0,2,3
984,2,6,2,0,2,4
986,2,3,2,0,2,1
988,2,5,2,0,2,3
990,2,4,2,0,2,2
992,2,6,2,0,2,4
994,2,7,2,0,2,5
996,2,7,2,0,2,5
998,2,6,2,0,2,4
1000,2,4,2,0,2,2
1002,2,5,2,0,2,3
1004,2,5,2,0,2,3
1006,2,5,2,0,2,3
1008,2,6,2,0,2,4
1010,2,6,2,0,2,4
1012,2,6,2,0,2,4
1014,2,6,2,0,2,4
1016,2,7,2,0,2,5
1018,2,5,2,0,2,3
1020,2,5,2,0,2,3
1022,2,5,2,0,2,3
1024,2,7,2,0,2,5
1026,2,6,2,0,2,4
1028,2,5,2,0,2,3
1030,2,6,2,0,2,4
1032,2,5,2,0,2,3
1034,2,4,2,0,2,2
1036,2,4,2,0,2,2
1038,2,4,2,0,2,2
1040,2,6,2,0,2,4
1042,2,5,2,0,2,3
1044,2,5,2,0,2,3
1046,2,6,2,0,2,4
1048,2,6,2,0,2,4
1050,2,5,2,0,2,3
1052,2,5,2,0,2,3
1054,2,5,2,0,2,3
1056,2,4,2,0,2,2
1058,2,6,2,0,2,4
1060,2,5,2,0,2,3
1062,2,4,2,0,2,2
1064,2,4,2,0,2,2
1066,2,5,2,0,2,3
1068,2,6,2,0,2,4
1070,2,4,2,0,2,2
1072,2,2,1,1,1,1
1074,2,5,2,0,2,3
1076,2,5,2,0,2,3
1078,2,5,2,0,2,3
1080,2,7,2,0,2,5
1082,2,8,2,0,2,6
1084,2,9,2,0,2,7
1086,2,9,2,0,2,7
1088,2,11,2,0,2,9
1090,2,12,2,0,2,10
1092,2,11,2,0,2,9
1094,2,11,2,0,2,9
1096,2,10,2,0,2,8
1098,2,8,1,1,1,7
1100,2,7,1,1,1,6
1102,2,9,1,1,1,8
1104,2,6,0,2,0,6
1106,2,6,0,2,0,6
1108,2,5,0,2,0,5
1110,2,6,1,1,1,5
1112,2,8,1,1,1,7
1114,2,6,1,1,1,5
1116,2,8,2,0,2,6
1118,2,7,2,0,2,5
1120,2,7,2,0,2,5
1122,2,6,1,1,1,5
1124,2,8,1,1,1,7
1126,2,6,1,1,1,5
1128,2,8,0,2,0,8
1130,2,10,1,1,1,9
1132,2,9,1,1,1,8
1134,2,10,0,2,0,10
1136,2,7,0,2,0,7
1138,2,6,0,2,0,6
1140,2,9,0,2,0,9
1142,2,8,0,2,0,8
1144,2,8,0,2,0,8
1146,2,10,0,2,0,10
1148,2,8,0,2,0,8
1150,2,7,0,2,0,7
1152,2,8,0,2,0,8
1154,2,6,1,1,1,5
1156,2,6,1,1,1,5
1158,2,6,1,1,1,5
1160,2,6,1,1,1,5
1162,2,7,1,1,1,6
1164,2,8,1,1,1,7
1166,2,8,1,1,1,7
1168,2,7,1,1,1,6
1170,2,6,1,1,1,5
1172,2,5,1,1,1,4
1174,2,6,1,1,1,5
1176,2,7,1,1,1,6
1178,2,5,1,1,1,4
1180,2,7,1,1,1,6
1182,2,6,1,1,1,5
1184,2,6,1,1,1,5
1186,2,6,1,1,1,5
1188,2,5,1,1,1,4
